"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"5495","2016 - Anti-depressant effect of ceftriaxone in forced swimming test and in tail suspension test in mice","A. Borah, B. Singha and S. Phukan",2016,"Anti-depressant effect of ceftriaxone in forced swimming test and in tail suspension test in mice","International Journal of Pharmacy and Pharmaceutical Sciences","8","11","191-194","10.22159/ijpps.2016v8i11.14466",NA,25557
"5496","2016 - Anti-epileptic activity of Acalypha indica methanolic leaves extract with animal experiment","P. Kumar, P. Chakrapani, B. Arunjyothi and A. Rojarani",2016,"Anti-epileptic activity of Acalypha indica methanolic leaves extract with animal experiment","International Journal of Pharmacognosy and Phytochemical Research","8","9","1560-1565",NA,NA,25559
"5497","2016 - Antibodies to myelin basic protein are associated with cognitive decline after stroke","K. J. Becker, P. Tanzi, D. Zierath and M. S. Buckwalter",2016,"Antibodies to myelin basic protein are associated with cognitive decline after stroke","Journal of Neuroimmunology","295-296",NA,"43778","10.1016/j.jneuroim.2016.04.001",NA,25556
"5498","2016 - Antidepressive-like effects and antioxidant activity of green tea and GABA green tea in a mouse model of post-stroke depression","A. Di Lorenzo, S. F. Nabavi, A. Sureda, A. H. Moghaddam, S. Khanjani, P. Arcidiaco, S. M. Nabavi and M. Daglia",2016,"Antidepressive-like effects and antioxidant activity of green tea and GABA green tea in a mouse model of post-stroke depression","Molecular nutrition & food research","60","3","566-579","10.1002/mnfr.201500567",NA,25558
"5499","2016 - APE1/Ref-1 facilitates recovery of gray and white matter and neurological function after mild stroke injury","R. A. Stetler, Y. Gao, R. K. Leak, Z. Weng, Y. Shi, L. Zhang, H. Pu, F. Zhang, X. Hu, S. Hassan, C. Ferguson, G. E. Homanics, G. Cao, M. V. L. Bennett and J. Chen",2016,"APE1/Ref-1 facilitates recovery of gray and white matter and neurological function after mild stroke injury","Proceedings of the National Academy of Sciences of the United States of America","113","25","E3558-E3567","10.1073/pnas.1606226113",NA,25562
"5500","2016 - Apocyanin ameliorates post-stroke movement disorder in rats: Possible role of neurochemical and inflammatory alterations","M. Kapoor, R. Sandhir and B. Nehru",2016,"Apocyanin ameliorates post-stroke movement disorder in rats: Possible role of neurochemical and inflammatory alterations","Movement Disorders","31",NA,"S287","10.1002/mds.26688",NA,25563
"5501","2016 - Apolipoprotein E-Mimetic COG1410 reduces acute vasogenic edema following traumatic brain injury","F. Cao, Y. Jiang, Y. Wu, J. Zhong, J. Liu, X. Qin, L. Chen, M. P. Vitek, F. Li, L. Xu and X. Sun",2016,"Apolipoprotein E-Mimetic COG1410 reduces acute vasogenic edema following traumatic brain injury","Journal of Neurotrauma","33","2","175-182","10.1089/neu.2015.3887",NA,25565
"5502","2016 - Aquaporin-4 inhibitor AER-271 blocks early cerebral edema in pediatric rat asphyxial cardiac arrest","J. Wallisch, R. Jha, G. Farr, P. McGuirk, M. Pelletier, T. Jackson, P. Kochanek and M. Manole",2016,"Aquaporin-4 inhibitor AER-271 blocks early cerebral edema in pediatric rat asphyxial cardiac arrest","Critical Care Medicine","44","12","255","10.1097/01.ccm.0000509394.12349.6b",NA,25567
"5503","2016 - Asia Pacific Stroke Conference 2016",NA,2016,"Asia Pacific Stroke Conference 2016","Cerebrovascular Diseases","42",NA,NA,NA,NA,25569
"5504","2016 - Assessment of blood-brain barrier permeability by dynamic contrast-enhanced MRI in transient middle cerebral artery occlusion model after locali007Aed brain cooling in rats","E. S. Kim, S. K. Lee, M. J. Kwon, P. H. Lee, Y. S. Ju, D. Y. Yoon, H. J. Kim and K. S. Lee",2016,"Assessment of blood-brain barrier permeability by dynamic contrast-enhanced MRI in transient middle cerebral artery occlusion model after locali007Aed brain cooling in rats","Korean Journal of Radiology","17","5","715-724","10.3348/kjr.2016.17.5.715",NA,25570
"5505","2016 - Assessment of the Correlations Between Brain Weight and Brain Edema in Experimental Subarachnoid Hemorrhage","Y. Hasegawa, H. Suzuki, T. Nakagawa, K. Uekawa, N. Koibuchi, T. Kawano and S. Kim-Mitsuyama",2016,"Assessment of the Correlations Between Brain Weight and Brain Edema in Experimental Subarachnoid Hemorrhage","Acta Neurochir Suppl","121",NA,"89-92","10.1007/978-3-319-18497-5_15",NA,25572
"5506","2016 - Astrocyte-derived lipocalin-2 mediates hippocampal neuronal loss in the global ischemic model of vascular dementia","K. Suk and J. Kim",2016,"Astrocyte-derived lipocalin-2 mediates hippocampal neuronal loss in the global ischemic model of vascular dementia","Journal of Cerebral Blood Flow and Metabolism","36",NA,"683","10.1177/0271678X16639008",NA,25575
"5507","2016 - Astrocyte specific rAAV-mediated insulin-like growth factor-1 expression in aging female rats increases post-stroke survival and sensory motor performance","A. K. Okoreeh, S. Bake and F. Sohrabji",2016,"Astrocyte specific rAAV-mediated insulin-like growth factor-1 expression in aging female rats increases post-stroke survival and sensory motor performance","Stroke","47",NA,NA,NA,NA,25574
"5508","2016 - Asynchronous therapy targeting Nogo-A enhances neurobehavioral recovery by reducing neuronal loss and promoting neurite outgrowth after cerebral ischemia in mice","L. Li, B. Deng, S. Wang, H. Zhong, Z. Liu, W. Jin, T. Jiang, Z. Xiao and Q. Wang",2016,"Asynchronous therapy targeting Nogo-A enhances neurobehavioral recovery by reducing neuronal loss and promoting neurite outgrowth after cerebral ischemia in mice","Journal of Drug Targeting","24","1","13-23","10.3109/1061186X.2015.1052070",NA,25578
"5509","2016 - Atorvastatin ameliorates early brain injury after subarachnoid hemorrhage via inhibition of AQP4 expression in rabbits","J. H. Chen, L. K. Yang, L. Chen, Y. H. Wang, Y. Wu, B. J. Jiang, J. Zhu and P. P. Li",2016,"Atorvastatin ameliorates early brain injury after subarachnoid hemorrhage via inhibition of AQP4 expression in rabbits","International Journal of Molecular Medicine","37","4","1059-1066","10.3892/ijmm.2016.2506",NA,25579
"5510","2016 - Attenuation of Acute Phase Injury in Rat Intracranial Hemorrhage by Cerebrolysin that Inhibits Brain Edema and Inflammatory Response","Y. Yang, Y. Zhang, Z. Wang, S. Wang, M. Gao, R. Xu, C. Liang and H. Zhang",2016,"Attenuation of Acute Phase Injury in Rat Intracranial Hemorrhage by Cerebrolysin that Inhibits Brain Edema and Inflammatory Response","Neurochemical Research","41","4","748-757","10.1007/s11064-015-1745-4",NA,25580
"5511","2016 - Attenuation of postischemic functional deficits in rats with essential hypertension treated with NPY2R agonist","L. Przykaza, H. Domin, P. Boguszewski, M. Smialowska and E. Kozniewska",2016,"Attenuation of postischemic functional deficits in rats with essential hypertension treated with NPY2R agonist","Journal of Cerebral Blood Flow and Metabolism","36",NA,"312-313","10.1177/0271678X16639008",NA,25581
"5512","2016 - Auricular vagus nerve stimulation promotes functional recovery and enhances the post-ischemic angiogenic response in an ischemia/reperfusion rat model","Y. Jiang, L. Li, J. Ma, L. Zhang, F. Niu, T. Feng and C. Li",2016,"Auricular vagus nerve stimulation promotes functional recovery and enhances the post-ischemic angiogenic response in an ischemia/reperfusion rat model","Neurochemistry International","97",NA,"73-82","10.1016/j.neuint.2016.02.009",NA,25582
"5513","2016 - Baicalein Attenuates Neurological Deficits and Preserves Bloodâ€“Brain Barrier Integrity in a Rat Model of Intracerebral Hemorrhage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5514","2016 - Basal Ganglia Damage in Experimental Subarachnoid Hemorrhage","H. Zhang, S. Okubo, Y. Hua, R. F. Keep and G. Xi",2016,"Basal Ganglia Damage in Experimental Subarachnoid Hemorrhage","Acta Neurochir Suppl","121",NA,"141-4","10.1007/978-3-319-18497-5_25",NA,25587
"5515","2016 - Behavioral testing in rodent models of stroke, Part I","R. Bernard, M. Balkaya and A. Rex",2016,"Behavioral testing in rodent models of stroke, Part I",NA,"120","(Bernard R.; Balkaya M.; Rex A.)","199-223","10.1007/978-1-4939-5620-3_13",NA,25595
"5516","2016 - Behavioral testing in rodent models of stroke, Part II","G. A. S. Metz",2016,"Behavioral testing in rodent models of stroke, Part II",NA,"120","(Metz G.A.S.)","225-241","10.1007/978-1-4939-5620-3_14",NA,25596
"5517","2016 - Beneficial properties of argon after experimental subarachnoid hemorrhage: Early treatment reduces mortality and influences hippocampal protein expression","A. Höllig, A. Weinandy, J. Liu, H. Clusmann, R. Rossaint and M. Coburn",2016,"Beneficial properties of argon after experimental subarachnoid hemorrhage: Early treatment reduces mortality and influences hippocampal protein expression","Critical Care Medicine","44","7","e520-e529","10.1097/CCM.0000000000001561",NA,25600
"5518","2016 - Bexarotene targets autophagy and is protective against thromboembolic stroke in aged mice with tauopathy","M. T. Huuskonen, S. Loppi, H. Dhungana, V. Keksa-Goldsteine, S. Lemarchant, P. Korhonen, S. Wojciechowski, E. Pollari, P. Valonen, J. Koponen, A. Takashima, G. Landreth, G. Goldsteins, T. Malm, J. Koistinaho and K. M. Kanninen",2016,"Bexarotene targets autophagy and is protective against thromboembolic stroke in aged mice with tauopathy","Scientific reports","6",NA,"33176","10.1038/srep33176",NA,25602
"5519","2016 - BID mediates Oxygen-Glucose deprivation-induced neuronal injury in organotypic hippocampal slice cultures and modulates tissue inflammation in a transient focal cerebral ischemia model without changing lesion volume","N. A. Martin, H. Bonner, M. L. Elkjær, B. D’Orsi, G. Chen, H. G. König, M. Svensson, T. Deierborg, S. Pfeiffer, J. H. Prehn and K. L. Lambertsen",2016,"BID mediates Oxygen-Glucose deprivation-induced neuronal injury in organotypic hippocampal slice cultures and modulates tissue inflammation in a transient focal cerebral ischemia model without changing lesion volume","Frontiers in Cellular Neuroscience","10","FEB",NA,"10.3389/fncel.2016.00014",NA,25603
"5520","2016 - Bio-inspired flexible joints with passive feathering for robotic fish pectoral fins","S. B. Behbahani and X. Tan",2016,"Bio-inspired flexible joints with passive feathering for robotic fish pectoral fins","Bioinspiration & biomimetics","11","3","36009","10.1088/1748-3190/11/3/036009",NA,25608
"5521","2016 - Bioactive components of Chinese herbal medicine enhance endogenous neurogenesis in animal models of ischemic stroke: A systematic analysis","J. H. Li, Z. X. Chen, X. G. Zhang, Y. Li, W. T. Yang, X. W. Zheng, S. Chen, L. Lu, Y. Gu and G. Q. Zheng",2016,"Bioactive components of Chinese herbal medicine enhance endogenous neurogenesis in animal models of ischemic stroke: A systematic analysis","Medicine (United States)","95","40",NA,"10.1097/MD.0000000000004904",NA,25605
"5522","2016 - Biodistribution of infused human umbilical cord blood cells in Alzheimerâ€™s disease-like murine model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5523","2016 - Biologist's opinion on brain microhemorrhage definition: A grain of sand in the gears","V. Berezowski",2016,"Biologist's opinion on brain microhemorrhage definition: A grain of sand in the gears","Clinical Neuropathology","35","4","201",NA,NA,25610
"5524","2016 - Bioluminescence imaging of transplanted human endothelial colony-forming cells in ischemic mice model","J. Ding, Z. Zhao, C. Wang, C. Qian, Y. Cai and G. J. Teng",2016,"Bioluminescence imaging of transplanted human endothelial colony-forming cells in ischemic mice model","Molecular Imaging and Biology","18","1","S1451-S1452","10.1007/s11307-016-0969-2",NA,25612
"5525","2016 - Blocking B7-1/CD28 Pathway Diminished Long-Range Brain Damage by Regulating the Immune and Inflammatory Responses in a Mouse Model of Intracerebral Hemorrhage","L. Ma, X. Shen, Y. Gao, Q. Wu, M. Ji, C. Luo, M. Zhang, T. Wang, X. Chen and L. Tao",2016,"Blocking B7-1/CD28 Pathway Diminished Long-Range Brain Damage by Regulating the Immune and Inflammatory Responses in a Mouse Model of Intracerebral Hemorrhage","Neurochemical Research","41","7","1673-1683","10.1007/s11064-016-1883-3",NA,25613
"5526","2016 - Blood-brain barrier damage in vascular dementia","M. Ueno, Y. Chiba, K. Matsumoto, R. Murakami, R. Fujihara, M. Kawauchi, H. Miyanaka and T. Nakagawa",2016,"Blood-brain barrier damage in vascular dementia","Neuropathology","36","2","115-124","10.1111/neup.12262",NA,25615
"5527","2016 - Blood-brain barrier modulation by sphenopalatine ganglion stimulation for enhanced stem cell delivery after ischemic stroke (10805)","M. J. Lang, R. Lin, A. Sharan, R. R. Rosenwasser and L. Iacovitti",2016,"Blood-brain barrier modulation by sphenopalatine ganglion stimulation for enhanced stem cell delivery after ischemic stroke (10805)","Neuromodulation","19","3","e57","10.1111/ner.12428",NA,25616
"5528","2016 - Boiling frogs and burning out","E. Lawson",2016,"Boiling frogs and burning out","British Journal of General Practice","66","643","59","10.3399/bjgp16X683521",NA,25617
"5529","2016 - Bone fracture pre-ischemic stroke exacerbates ischemic cerebral injury in mice","L. Wang, S. Kang, D. Zou, L. Zhan, Z. Li, W. Zhu and H. Su",2016,"Bone fracture pre-ischemic stroke exacerbates ischemic cerebral injury in mice","PLoS ONE","11","4",NA,"10.1371/journal.pone.0153835",NA,25618
"5530","2016 - Bone marrow cell transplantation timedependently reverses G-CSF effects after stroke in hypertensive rats","C. Pösel, D. C. Wagner, J. Scheibe, A. Kranz, V. Bothe, F. Lange, W. R. Schäbitz, J. Minnerup and J. Boltze",2016,"Bone marrow cell transplantation timedependently reverses G-CSF effects after stroke in hypertensive rats","Journal of Cerebral Blood Flow and Metabolism","36",NA,"304-305","10.1177/0271678X16639008",NA,25619
"5531","2016 - Bone marrow mesenchymal stem cell transplantation for rat cerebral infarction: Recovery of neurological function and expression of synaptophysin","L. F. Cheng",2016,"Bone marrow mesenchymal stem cell transplantation for rat cerebral infarction: Recovery of neurological function and expression of synaptophysin","Chinese Journal of Tissue Engineering Research","20","28","4182-4188","10.3969/j.issn.2095-4344.2016.28.012",NA,25620
"5532","2016 - Brain damage preventive effects of progesterone in a cerebral palsy rat model","Y. Kawarai, H. Ishikawa, H. Tanaka and M. Shozu",2016,"Brain damage preventive effects of progesterone in a cerebral palsy rat model","Journal of Obstetrics and Gynaecology Research","42",NA,"6","10.1111/jog.13205",NA,25622
"5533","2016 - Brain targeted quercetin loaded polymeric nanoparticles for the treatment of brain ischimia","S. K. Vermaa, I. Arorab, S. Rastogia, K. Javeda, M. Akhtarc and M. Samima",2016,"Brain targeted quercetin loaded polymeric nanoparticles for the treatment of brain ischimia","Planta Medica","82","5",NA,"10.1055/s-0036-1578691",NA,25623
"5534","2016 - Brain Volume Determination in Subarachnoid Hemorrhage Using Rats","T. Lekic, M. Hardy, M. Fujii, D. W. McBride and J. H. Zhang",2016,"Brain Volume Determination in Subarachnoid Hemorrhage Using Rats","Acta Neurochir Suppl","121",NA,"99-102","10.1007/978-3-319-18497-5_17",NA,25624
"5535","2016 - Bumetanide promotes neural precursor cell regeneration and dendritic development in the hippocampal dentate gyrus in the chronic stage of cerebral ischemia","W. S. Xu, X. Sun, C. G. Song, X. P. Mu, W. P. Ma, X. H. Zhang and C. S. Zhao",2016,"Bumetanide promotes neural precursor cell regeneration and dendritic development in the hippocampal dentate gyrus in the chronic stage of cerebral ischemia","Neural Regeneration Research","11","5","745-751","10.4103/1673-5374.182700",NA,25625
"5536","2016 - Buyanghuanwu decoction promotes angiogenesis after cerebral ischemia/reperfusion injury: Mechanisms of brain tissue repair","Z. Q. Zhang, J. Y. Song, Y. Q. Jia and Y. K. Zhang",2016,"Buyanghuanwu decoction promotes angiogenesis after cerebral ischemia/reperfusion injury: Mechanisms of brain tissue repair","Neural Regeneration Research","11","3","435-440","10.4103/1673-5374.179055",NA,25627
"5537","2016 - Calcium/calmodulin-dependent protein kinase kinase Î² is neuroprotective in stroke in aged mice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5538","2016 - Cannabidiol, neuroprotection and neuropsychiatric disorders","A. C. Campos, M. V. Fogaca, A. B. Sonego and F. S. Guimaraes",2016,"Cannabidiol, neuroprotection and neuropsychiatric disorders","Pharmacol Res","112",NA,"119-127","10.1016/j.phrs.2016.01.033",NA,25630
"5539","2016 - Catalpol stimulates VEGF production via the JAK2/STAT3 pathway to improve angiogenesis in ratsâ€™ stroke model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5540","2016 - Causal link between the cortico-rubral pathway and functional recovery through forced impaired limb use in rats with stroke","A. Ishida, K. Isa, T. Umeda, K. Kobayashi, K. Kobayashi, H. Hida and T. Isa",2016,"Causal link between the cortico-rubral pathway and functional recovery through forced impaired limb use in rats with stroke","Journal of Neuroscience","36","2","455-467","10.1523/JNEUROSCI.2399-15.2016",NA,25637
"5541","2016 - Ceftriaxone pretreatment reduces the propensity of postpartum depression following stroke during pregnancy in rats","Y. Guan, X. Liu and Y. Su",2016,"Ceftriaxone pretreatment reduces the propensity of postpartum depression following stroke during pregnancy in rats","Neuroscience Letters","632",NA,"15-22","10.1016/j.neulet.2016.08.036",NA,25640
"5542","2016 - Cerebellar dentate nucleus is an effective brain stimulation target for post-stroke recovery","S. Ishizaka, M. Cheng, A. Shah, E. Wang, A. Bautista, G. Sun and G. K. Steinberg",2016,"Cerebellar dentate nucleus is an effective brain stimulation target for post-stroke recovery","Stroke","47",NA,NA,NA,NA,25641
"5543","2016 - Cerebral Hemodynamics and Vascular Reactivity in Mild and Severe Ischemic Rodent Middle Cerebral Artery Occlusion Stroke Models","J. Sim, A. Jo, B. M. Kang, S. Lee, O. Y. Bang, C. Heo, G. J. Jhon, Y. Lee and M. Suh",2016,"Cerebral Hemodynamics and Vascular Reactivity in Mild and Severe Ischemic Rodent Middle Cerebral Artery Occlusion Stroke Models","Exp Neurobiol","25","3","130-8","10.5607/en.2016.25.3.130","PMC4923357",25642
"5544","2016 - Cerebral microcirculatory failure after subarachnoid hemorrhage is reversed by hyaluronidase","E. D. McConnell, H. S. Wei, K. M. Reitz, H. Kang, T. Takano, G. E. Vates and M. Nedergaard",2016,"Cerebral microcirculatory failure after subarachnoid hemorrhage is reversed by hyaluronidase","Journal of Cerebral Blood Flow and Metabolism","36","9","1537-1552","10.1177/0271678X15608389",NA,25645
"5545","2016 - Cerebral Response to Peripheral Challenge with a Viral Mimetic","G. Konat",2016,"Cerebral Response to Peripheral Challenge with a Viral Mimetic","Neurochem Res","41","43497","144-55","10.1007/s11064-015-1746-3","PMC4775375",25646
"5546","2016 - Cerebrolysin improves neurological outcome in rats after acute stroke: A prospective, randomized, blinded, placebo-controlled study","L. Zhang, M. Chopp, M. Lu, T. Zhang, P. Pabla, S. Winter, E. Doppler, D. Meier and Z. G. Zhang",2016,"Cerebrolysin improves neurological outcome in rats after acute stroke: A prospective, randomized, blinded, placebo-controlled study","Stroke","47",NA,NA,NA,NA,25648
"5547","2016 - Cerebroprotection of flavanol (-)-epicatechin after traumatic brain injury via Nrf2-dependent and -independent pathways","T. Cheng, W. Wang, Q. Li, X. Han, J. Xing, C. Qi, X. Lan, J. Wan, A. Potts, F. Guan and J. Wang",2016,"Cerebroprotection of flavanol (-)-epicatechin after traumatic brain injury via Nrf2-dependent and -independent pathways","Free Radical Biology and Medicine","92",NA,"15-28","10.1016/j.freeradbiomed.2015.12.027",NA,25649
"5548","2016 - Change of learning and memory ability in neonatal rats with hypoxic-ischemic white matter injury","L. Lin, G. Zhang, Q. M. Lin and Q. Lin",2016,"Change of learning and memory ability in neonatal rats with hypoxic-ischemic white matter injury","Acta Anatomica Sinica","47","6","738-743","10.16098/j.issn.0529-1356.2016.06.003",NA,25651
"5549","2016 - Characterization of age-related changes in microglia/macrophage polarization and functional outcomes in a mouse model of ischemic stroke","J. Suenaga, X. Hu, H. Pu, S. H. Hassan and J. Chen",2016,"Characterization of age-related changes in microglia/macrophage polarization and functional outcomes in a mouse model of ischemic stroke","Journal of Cerebral Blood Flow and Metabolism","36",NA,"181-182","10.1177/0271678X16639008",NA,25652
"5550","2016 - Characterization of ICP Behavior in an Experimental Model of Hemorrhagic Stroke in Rats","D. A. Cardim, R. A. do Val da Silva, A. C. Cardim, B. C. Cabella, G. H. Frigieri, C. V. de Sousa Torres, C. C. Wang, R. A. de Pacheco Andrade, R. C. Scandiuzzi, A. C. Rizzatti, Y. M. Mascarenhas, J. P. Leite and S. Mascarenhas",2016,"Characterization of ICP Behavior in an Experimental Model of Hemorrhagic Stroke in Rats","Acta Neurochir Suppl","122",NA,"121-4","10.1007/978-3-319-22533-3_24",NA,25654
"5551","2016 - Chlorophenoxy aminoalkyl derivatives as histamine H3R ligands and antiseizure agents","K. Kuder, D. Lazewska, G. Latacz, J. S. Schwed, T. Karcz, H. Stark, J. Karolak-Wojciechowska and K. Kiec-Kononowicz",2016,"Chlorophenoxy aminoalkyl derivatives as histamine H3R ligands and antiseizure agents","Bioorganic and Medicinal Chemistry","24","2","53-72","10.1016/j.bmc.2015.11.021",NA,25656
"5552","2016 - Chronic administration of isocarbophos induces vascular cognitive impairment in rats","P. Li, Y. L. Yin, M. L. Zhu, G. P. Pan, F. R. Zhao, J. X. Lu, Z. Liu, S. X. Wang and C. P. Hu",2016,"Chronic administration of isocarbophos induces vascular cognitive impairment in rats","Journal of Cellular and Molecular Medicine","20","4","731-739","10.1111/jcmm.12775",NA,25657
"5553","2016 - Chronic alcohol intoxication and cortical ischemia: Study of their comorbidity and the protective effects of minocycline","E. A. Fontes-Júnior, C. S. F. Maia, L. M. P. Fernandes, W. Gomes-Leal, A. Costa-Malaquias, R. R. Lima, R. D. Prediger and M. E. Crespo-López",2016,"Chronic alcohol intoxication and cortical ischemia: Study of their comorbidity and the protective effects of minocycline","Oxidative Medicine and Cellular Longevity","2016",NA,NA,"10.1155/2016/1341453",NA,25658
"5554","2016 - Chronic optogenetic stimulation of thalamocortical projections promotes axonal rewiring and accelerates recovery of function after somatosensory cortex stroke","C. E. Brown and K. Tennant",2016,"Chronic optogenetic stimulation of thalamocortical projections promotes axonal rewiring and accelerates recovery of function after somatosensory cortex stroke","Stroke","47",NA,NA,NA,NA,25660
"5555","2016 - Chronic renal failure worsens ischemic stroke severity and neurological consequences in mice","F. Brazier, M. Assem, L. Hénaut, S. Kamel, Z. A. Massy and J. M. Chillon",2016,"Chronic renal failure worsens ischemic stroke severity and neurological consequences in mice","Nephrology Dialysis Transplantation","31",NA,"i433","10.1093/ndt/gfw188.40",NA,25661
"5556","2016 - Class IIa histone deacetylases affect neuronal remodeling and functional outcome after stroke","H. Kassis, A. Shehadah, C. Li, Y. Zhang, Y. Cui, C. Roberts, N. Sadry, X. Liu, M. Chopp and Z. G. Zhang",2016,"Class IIa histone deacetylases affect neuronal remodeling and functional outcome after stroke","Neurochemistry International","96",NA,"24-31","10.1016/j.neuint.2016.04.006",NA,25663
"5557","2016 - Clostridium butyricum attenuates cerebral ischemia/reperfusion injury in diabetic mice via modulation of gut microbiota","J. Sun, F. Wang, Z. Ling, X. Yu, W. Chen, H. Li, J. Jin, M. Pang, H. Zhang, J. Yu and J. Liu",2016,"Clostridium butyricum attenuates cerebral ischemia/reperfusion injury in diabetic mice via modulation of gut microbiota","Brain Research","1642",NA,"180-188","10.1016/j.brainres.2016.03.042",NA,25665
"5558","2016 - Co-transplantation of NPCs and EPCs synergistically promotes brain recovery after ischemia-reperfusion injury in mice","J. Wang, X. Ma, S. Chen, X. Xiao, J. Bihl, B. Zhao and Y. Chen",2016,"Co-transplantation of NPCs and EPCs synergistically promotes brain recovery after ischemia-reperfusion injury in mice","Stroke","47",NA,NA,NA,NA,25700
"5559","2016 - COA-Cl, a Novel Synthesized Nucleoside Analog, Exerts Neuroprotective Effects in the Acute Phase of Intracerebral Hemorrhage","F. Lu, T. Nakamura, N. Okabe, N. Himi, E. Nakamura-Maruyama, T. Shiromoto, K. Narita, I. Tsukamoto, G. Xi, R. F. Keep and O. Miyamoto",2016,"COA-Cl, a Novel Synthesized Nucleoside Analog, Exerts Neuroprotective Effects in the Acute Phase of Intracerebral Hemorrhage","J Stroke Cerebrovasc Dis","25","11","2637-2643","10.1016/j.jstrokecerebrovasdis.2016.07.006",NA,25668
"5560","2016 - Cognitive dysfunction in a pre-chiasmatic cistern blood injection model of aneurysmal subarachnoid hemorrhage in mice","F. Oka, Y. B. Atalay, T. Qin and C. Ayata",2016,"Cognitive dysfunction in a pre-chiasmatic cistern blood injection model of aneurysmal subarachnoid hemorrhage in mice","Journal of Cerebral Blood Flow and Metabolism","36",NA,"361","10.1177/0271678X16639008",NA,25669
"5561","2016 - Combination of early constraint-induced movement therapy and fasudil enhances motor recovery after ischemic stroke in rats","Y. H. Liu, Y. Zhao, F. Z. Huang, Y. H. Chen, H. X. Wang, E. Bonney and B. Q. Liu",2016,"Combination of early constraint-induced movement therapy and fasudil enhances motor recovery after ischemic stroke in rats","International Journal of Neuroscience","126","2","168-173","10.3109/00207454.2014.998759",NA,25673
"5562","2016 - Combinatorial Motor Training Results in Functional Reorganization of Remaining Motor Cortex after Controlled Cortical Impact in Rats","H. L. Combs, T. A. Jones, D. A. Kozlowski and D. L. Adkins",2016,"Combinatorial Motor Training Results in Functional Reorganization of Remaining Motor Cortex after Controlled Cortical Impact in Rats","Journal of Neurotrauma","33","8","741-747","10.1089/neu.2015.4136",NA,25674
"5563","2016 - Combining systemic and stereotactic MEMRI to detect the correlation between gliosis and neuronal connective pathway at the chronic stage after stroke","X. Z. Hao, L. K. Yin, X. X. Zhang, J. Q. Tian, C. C. Li, X. Y. Feng, M. Jiang and Y. M. Yang",2016,"Combining systemic and stereotactic MEMRI to detect the correlation between gliosis and neuronal connective pathway at the chronic stage after stroke","Journal of Neuroinflammation","13","1",NA,"10.1186/s12974-016-0622-7",NA,25676
"5564","2016 - Commensal microbiota affects ischemic stroke outcome by regulating intestinal gammadelta T cells","C. Benakis, D. Brea, S. Caballero, G. Faraco, J. Moore, M. Murphy, G. Sita, G. Racchumi, L. Ling, E. G. Pamer, C. Iadecola and J. Anrather",2016,"Commensal microbiota affects ischemic stroke outcome by regulating intestinal gammadelta T cells","Nat Med","22","5","516-23","10.1038/nm.4068","PMC4860105",25677
"5565","2016 - Comparison of effects of administration of BMMNCS in combination with melatonin vs BMMNCS alone in middle cerebral arteryocclusion model of stroke in rats","V. Vibhuti, K. Prasad and S. Mohanty",2016,"Comparison of effects of administration of BMMNCS in combination with melatonin vs BMMNCS alone in middle cerebral arteryocclusion model of stroke in rats","International Journal of Stroke","11",NA,"294","10.1177/1747493016672394",NA,25681
"5566","2016 - Comparison of MSC-Neurogenin1 administration modality in MCAO rat model","D. H. Shin, G. H. Kim, J. S. Lee, I. S. Joo, H. Suh-Kim, S. S. Kim and J. M. Hong",2016,"Comparison of MSC-Neurogenin1 administration modality in MCAO rat model","Translational Neuroscience","7","1","164-172","10.1515/tnsci-2016-0024",NA,25682
"5567","2016 - Comparisons between Garcia, Modo, and Longa rodent stroke scales: Optimizing resource allocation in rat models of focal middle cerebral artery occlusion","S. P. Bachour, M. Hevesi, O. Bachour, B. M. Sweis, J. Mahmoudi, J. A. Brekke and A. A. Divani",2016,"Comparisons between Garcia, Modo, and Longa rodent stroke scales: Optimizing resource allocation in rat models of focal middle cerebral artery occlusion","J Neurol Sci","364",NA,"136-40","10.1016/j.jns.2016.03.029",NA,25684
"5568","2016 - Compound K derived from ginseng: neuroprotection and cognitive improvement","J. Oh and J. S. Kim",2016,"Compound K derived from ginseng: neuroprotection and cognitive improvement","Food & function","7","11","4506-4515",NA,NA,25685
"5569","2016 - Coronary artery calcification a canary in the cognitive coalmine","W. Swardfager and S. E. Black",2016,"Coronary artery calcification a canary in the cognitive coalmine","Journal of the American College of Cardiology","67","9","1023-1026","10.1016/j.jacc.2016.01.007",NA,25694
"5570","2016 - Cortical control of facial expression","R. M. Müri",2016,"Cortical control of facial expression","Journal of Comparative Neurology","524","8","1578-1585","10.1002/cne.23908",NA,25696
"5571","2016 - Cortical spreading depression produces a neuroprotective effect activating mitochondrial uncoupling protein-5","E. Viggiano, V. Monda, A. Messina, F. Moscatelli, A. Valenzano, D. Tafuri, G. Cibelli, B. De Luca, G. Messina and M. Monda",2016,"Cortical spreading depression produces a neuroprotective effect activating mitochondrial uncoupling protein-5","Neuropsychiatr Dis Treat","12",NA,"1705-10","10.2147/ndt.s107074","PMC4946829",25699
